mouse_id,target,optoCount,optoTrials,optoProp
dls-ai32jr-2,27,788,6753,0.116688879016733
dls-ai32jr-2,20,88,7115,0.0123682361208714
dls-ai32jr-2,76,255,7789,0.0327384773398382
dls-ai32jr-2,17,444,7011,0.063329054343175
dls-ai32jr-2,59,109,7398,0.0147337118140038
dls-ai32jr-2,30,160,6847,0.0233678983496422
dls-ai32jr-3,20,421,6822,0.0617121078862504
dls-ai32jr-3,27,1040,6930,0.15007215007215
dls-ai32jr-3,17,218,7386,0.0295152992147306
dls-ai32jr-3,76,367,7348,0.0499455634186173
dls-ai32jr-3,30,188,7557,0.0248775969299987
dls-ai32jr-3,59,110,7735,0.0142210730446025
dls-ai32jr-4,27,809,2697,0.299962921764924
dls-ai32jr-4,20,51,4420,0.0115384615384615
dls-ai32jr-4,76,92,6196,0.0148482892188509
dls-ai32jr-4,17,409,5875,0.0696170212765957
dls-ai32jr-4,59,99,6613,0.0149705126266445
dls-ai32jr-4,30,185,6348,0.0291430371770636
dls-ai32jr-5,20,172,6316,0.0272324255858138
dls-ai32jr-5,27,1014,6710,0.151117734724292
dls-ai32jr-5,17,326,7858,0.0414863833036396
dls-ai32jr-5,76,345,7956,0.0433634992458522
dls-ai32jr-5,30,158,7565,0.0208856576338401
dls-ai32jr-5,59,166,7690,0.0215864759427828
dlight-chrimson-8,20,177,7588,0.0233263046916183
dlight-chrimson-8,27,704,7811,0.0901293048265267
dlight-chrimson-8,17,429,8456,0.0507332071901608
dlight-chrimson-8,76,73,8320,0.00877403846153846
dlight-chrimson-8,59,167,8697,0.0192020236863286
dlight-chrimson-8,30,603,8549,0.070534565446251
dlight-chrimson-9,27,979,7362,0.132980168432491
dlight-chrimson-9,20,243,7798,0.0311618363682996
dlight-chrimson-9,76,134,8057,0.0166315005585205
dlight-chrimson-9,17,166,8072,0.0205649157581764
dlight-chrimson-9,30,257,8689,0.0295776268845667
dlight-chrimson-9,59,60,8132,0.0073782587309395
